delta	REDSHIFT	VLA 6cm (uJy)	I Band	Ratio
0.18	0.276	2631	17.148	5.24
1.19	0.275	61	17.615	0.19
0.23	0.234	232	16.636	0.29
0.13	0.3	222	17.695	0.73
0.05	0.249	209000	16.48	224.98
0.37	0.288	128	17.527	0.36
0.1	0.254	2596	15.434	1.07
0.14	0.218	410	16.44	0.43
0.16	0.227	5361	17.136	15.68
1.08	0.282	16.8	17.662	0.05
0.13	0.283	35614	16.835	82.03
0.49	0.274	280	16.888	0.44
0.65	0.257	210	16.156	0.17
0.6	0.201	67	15.991	0.05
0.33	0.225	46	16.637	0.06
0.85	0.273	35.1	17.091	0.07
0.13	0.202	4790	16.689	6.25
8.79	0.207	265	16.845	43.77
0.24	0.292	86	17.747	0.3
0.03	0.295	8943	17	148.84
0.22	0.24	127	16.085	0.1
0.28	0.243	58	16.533	0.07
0.1	0.266	5153	17.312	11.94
0.4	0.297	71	17.681	0.23
0.31	0.224	601	17.026	1.07
0.06	0.228	95	16.465	0.1
0.65	0.251	94	17.149	0.19
0.24	0.213	1162	16.788	1.66
0.3	0.278	155	17.594	0.47
0.93	0.267	57	17.457	0.15
0.51	0.228	94	17.03	0.17
0.35	0.22	2471	16.373	2.41
0.42	0.28	110	17.321	0.26
0.17	0.226	260	16.367	0.25
0.21	0.206	155	15.952	0.1
1.06	0.276	18.1	17.615	0.06
1.07	0.273	33.2	17.493	0.09
0.1	0.295	32400	17.453	522.23
0.71	0.259	13300	16.807	33.61
0.37	0.226	233	16.244	0.2
0.61	0.219	420	16.841	0.63
0.52	0.257	114	16.736	0.16
0	0.241	14237	15.184	251.24
0.2	0.212	99.8	16.8	0.14
0.07	0.256	490	16.93	0.8
1.09	0.22	21.5	16.792	0.03
0.28	0.274	365	17.474	0.98
0.92	0.245	1508	17.075	2.81
1.53	0.247	29.9	16.82	0.04
0	0.228	20.7	17.118	0.04
0.78	0.282	29.3	17.436	0.08
0.67	0.297	19.7	17.771	0.07
0.19	0.211	116	16.17	0.09
0.21	0.293	179	17.581	0.53
0.09	0.284	195	16.76	0.27
0.15	0.205	119	16.783	0.17
0.3	0.284	512	17.677	1.66
0	0.243	30.6	17.119	0.06
0.53	0.294	68.7	16.344	0.07
0.29	0.243	800	17.069	1.48
0.11	0.281	8132	17.645	25.6
0.26	0.27	134	17.444	0.35
0.12	0.227	29.5	16.848	0.04
0.49	0.225	26.1	15.623	0.01
0.58	0.272	93.6	17.191	0.19
0.19	0.234	501	17.019	0.89
0.15	0.291	17013	17.65	53.8
0.3	0.241	154	17.245	0.34
0.54	0.241	142	17.285	0.32
0.44	0.244	892	16.755	1.24
0.3	0.29	122500	16.111	134.87
0.27	0.3	122	17.475	0.33
1.34	0.295	90.8	17.032	0.16
0.31	0.27	515	17.3	1.18
0.18	0.287	601	17.374	1.47
0.32	0.284	53.4	17.456	0.14
0.25	0.241	293	17.278	0.66
0.32	0.215	604	16.801	0.87
0.25	0.26	156	17.23	0.34
0.24	0.296	49.4	17.532	0.14
0.28	0.273	434	17.292	0.99
0.45	0.298	214	17.084	0.4
0.13	0.293	64.7	17.433	0.17
0.27	0.238	107	17.276	0.24
0.42	0.216	35.7	16.914	0.06
0.16	0.23	141	16.979	0.24
0.14	0.215	171	16.972	0.29
0.06	0.24	586	17.266	1.3
0.01	0.24	322000	15.568	204.48
0.31	0.286	392	17.455	1.04
0.29	0.278	310	17.249	0.68
0.39	0.268	9492	17.481	289.59
0.9	0.291	61.6	16.771	0.09
2.27	0.222	242	17.105	0.46
0.18	0.212	266	16.811	0.39
0.14	0.254	673	17.069	1.25
0.17	0.227	124	16.966	0.21
0.28	0.271	92.2	17.552	0.27
0.74	0.282	250	16.764	0.35
0.18	0.266	236	17.453	0.62
0.67	0.207	221	16.874	0.34
0.32	0.258	2961	16.878	4.6
0.65	0.286	44.1	16.859	0.07
0.29	0.229	215	17.046	0.39
0.02	0.271	253	17.504	0.7
0.26	0.276	138	17.033	0.25
0.51	0.228	57.3	16.599	0.07
0.57	0.222	34.6	16.756	0.05
0.14	0.242	123	15.901	0.08
0.27	0.206	112	16.918	0.18
0.3	0.242	163	16.97	0.28
1	0.283	81	17.018	0.14
0.15	0.269	492	16.395	0.49
0.87	0.295	153	17.65	0.48
1.29	0.242	108	17.17	0.22
0.27	0.265	104	16.951	0.17
0.02	0.223	986	16.836	1.47
0.16	0.237	1926	17.054	3.52
0.21	0.266	1618	17.148	3.22
0.29	0.277	51.8	17.208	0.11
0.61	0.275	88.8	17.09	0.17
0.16	0.285	389	16.011	0.27
0.21	0.222	17890	16.287	16.12
0.29	0.261	1703	16.48	1.83
0.17	0.266	144	16.629	0.18
0.41	0.258	523	16.922	0.85
2.2	0.261	39.1	16.95	0.06
0.28	0.238	762	16.966	1.28
0.16	0.288	33.5	17.459	0.09
0.02	0.231	180	17.164	0.36
0.1	0.231	102	16.887	0.16
0.17	0.23	138	16.803	0.2
0.32	0.213	110	16.3	0.1
0.05	0.221	127	16.49	0.14
0.73	0.275	935	16.952	1.55
0.22	0.231	167	16.849	0.25
1.61	0.246	78	16.636	0.1
0.43	0.208	255	16.552	0.29
0.45	0.276	65.7	17.466	0.18
0.3	0.267	622	16.034	0.44
0.08	0.253	1563	17.378	3.85
0.24	0.293	1192	17.541	3.41
0.37	0.279	6053	17.43	15.63
0.13	0.248	159	17.044	0.29
0.2	0.286	47.5	17.381	0.23
0.04	0.246	167	16.887	0.26
0.28	0.288	50.8	16.772	0.07
0.11	0.282	3052	17.252	6.69
