LogLRc	Log_L	LogRc	LcorrM	LogRF	Flag	Type
40.6	43.49945291	4.15	0.59	-39.34945291	0	FRI
41.4	43.4965365	0.62	-3.46	-42.8765365	0	RLQ
40.8	43.29862446	1.64	-2.16	-41.65862446	0	BLRG
41.2	43.2965365	4.41	0.97	-38.8865365	2	FRI
42.2	43.26405549	1.85	-2.03	-41.41405549	0	RLQ
42.6	43.2033471	2.44	-1.24	-40.7633471	0	RLQ
42.7	43.17437242	2.61	-0.91	-40.56437242	0	RLQ
42.4	43.12505963	1.69	-2.03	-41.43505963	0	PGQs
40.6	43.09862446	1.93	-1.31	-41.16862446	1	BLRG
41.3	43.09306177	1.19	-2.37	-41.90306177	0	RLQ
41.6	43.08604457	2.06	-1.18	-41.02604457	0	RLQ
42.6	43.07437242	3.82	0.34	-39.25437242	0	BLRG
41.9	43.07169522	1.81	-1.83	-41.26169522	0	RLQ
43.3	43.06707657	2.55	-1.29	-40.51707657	0	RLQ
42.1	43.05424251	1.86	-1.7	-41.19424251	0	RLQ
42.7	43.03491146	3.14	-0.38	-39.89491146	0	RLQ
42	42.95424251	1.49	-2.15	-41.46424251	0	PGQs
42.3	42.9033471	1.66	-2.18	-41.2433471	0	PGQs
42.9	42.89793756	2.64	-0.88	-40.25793756	0	RLQ
42.9	42.89793756	2.97	-0.43	-39.92793756	0	RLQ
41.1	42.89306177	0.76	-2.84	-42.13306177	0	PGQs
41.4	42.88604457	4.51	0.95	-38.37604457	0	FRI
41.5	42.88235685	1.22	-2.42	-41.66235685	0	PGQs
42.4	42.87437242	3.57	0.37	-39.30437242	0	BLRG
41.8	42.86405549	2.73	-0.79	-40.13405549	1	BLRG
42.2	42.8033471	1.93	-1.83	-40.8733471	0	RLQ
42.8	42.79793756	2.66	-0.86	-40.13793756	0	RLQ
42.6	42.77951917	2.98	-0.5	-39.79951917	0	RLQ
42.4	42.73491146	3.24	-0.16	-39.49491146	0	BLRG
42	42.72505963	2.54	-0.82	-40.18505963	0	BLRG
43.3	42.71317468	3.19	-0.29	-39.52317468	0	RLQ
42.1	42.7033471	2.04	-1.64	-40.6633471	0	RLQ
42.7	42.69793756	3.04	-0.6	-39.65793756	0	RLQ
41.4	42.67766933	1.7	-1.86	-40.97766933	0	RLQ
42.9	42.66707657	3.06	-0.42	-39.60707657	0	RLQ
42.9	42.66707657	2.31	-1.25	-40.35707657	0	RLQ
42.9	42.66707657	3.37	0.01	-39.29707657	0	RLQ
41.8	42.64156483	3.87	0.35	-38.77156483	0	FRI
41.1	42.58604457	0.89	-2.75	-41.69604457	0	RLQ
41.9	42.5033471	1.93	-1.59	-40.5733471	0	RLQ
41.9	42.5033471	1.77	-1.75	-40.7333471	0	RLQ
42.5	42.49793756	2.29	-1.23	-40.20793756	0	RLQ
41.1	42.48235685	2.27	-1.05	-40.21235685	0	BLRG
41.2	42.47766933	0.82	-2.9	-41.65766933	0	RLQ
41.8	42.4033471	2.32	-1.32	-40.0833471	0	BLRG
40.3	42.3965365	1.56	-1.72	-40.8365365	0	BLRG
40.4	42.39563519	1.66	-2.06	-40.73563519	0	BLRG
40.5	42.39449785	1.78	-1.78	-40.61449785	0	BLRG
40.9	42.38604457	1.18	-2.3	-41.20604457	0	RLQ
42.2	42.37951917	2.06	-1.74	-40.31951917	0	RLQ
42.6	42.36707657	2.85	-0.63	-39.51707657	0	RLQ
41.4	42.35424251	1.59	-1.81	-40.76424251	0	RLQ
41.5	42.34156483	3.01	-0.19	-39.33156483	0	BLRG
42.9	42.31317468	3.24	0.08	-39.07317468	0	RLQ
